code	level	parent	name_en
8113	unit	811	Well Drillers and Borers and Related Workers
8114	unit	811	Cement, Stone and Other Mineral Products Machine Operators
812	minor	81	Metal Processing and Finishing Plant Operators
8121	unit	812	Metal Processing Plant Operators
8122	unit	812	Metal Finishing, Plating and Coating Machine Operators
813	minor	81	Chemical and Photographic Products Plant and Machine Operators
8131	unit	813	Chemical Products Plant and Machine Operators
8132	unit	813	Photographic Products Machine Operators
814	minor	81	Rubber, Plastic and Paper Products Machine Operators
8141	unit	814	Rubber Products Machine Operators
8142	unit	814	Plastic Products Machine Operators
8143	unit	814	Paper Products Machine Operators
815	minor	81	Textile, Fur and Leather Products Machine Operators
8151	unit	815	Fibre Preparing, Spinning and Winding Machine Operators
8152	unit	815	Weaving and Knitting Machine Operators
8153	unit	815	Sewing Machine Operators
8154	unit	815	Bleaching, Dyeing and Fabric Cleaning Machine Operators
8155	unit	815	Fur and Leather Preparing Machine Operators
8156	unit	815	Shoemaking and Related Machine Operators
8157	unit	815	Laundry Machine Operators
8159	unit	815	Textile, Fur and Leather Products Machine Operators Not Elsewhere Classified
816	minor	81	Food and Related Products Machine Operators
8160	unit	816	Food and Related Products Machine Operators
817	minor	81	Wood Processing and Papermaking Plant Operators
8171	unit	817	Pulp and Papermaking Plant Operators
8172	unit	817	Wood Processing Plant Operators
818	minor	81	Other Stationary Plant and Machine Operators
8181	unit	818	Glass and Ceramics Plant Operators
8182	unit	818	Steam Engine and Boiler Operators
8183	unit	818	Packing, Bottling and Labelling Machine Operators
8189	unit	818	Stationary Plant and Machine Operators Not Elsewhere Classified
82	sub-major	8	Assemblers
821	minor	82	Assemblers
8211	unit	821	Mechanical Machinery Assemblers
8212	unit	821	Electrical and Electronic Equipment Assemblers
8219	unit	821	Assemblers Not Elsewhere Classified
83	sub-major	8	Drivers and Mobile Plant Operators
831	minor	83	Locomotive Engine Drivers and Related Workers
8311	unit	831	Locomotive Engine Drivers
8312	unit	831	Railway Brake, Signal and Switch Operators
832	minor	83	Car, Van and Motorcycle Drivers
8321	unit	832	Motorcycle Drivers
8322	unit	832	Car, Taxi and Van Drivers
833	minor	83	Heavy Truck and Bus Drivers
8331	unit	833	Bus and Tram Drivers
8332	unit	833	Heavy Truck and Lorry Drivers
834	minor	83	Mobile Plant Operators
8341	unit	834	Mobile Farm and Forestry Plant Operators
8342	unit	834	Earthmoving and Related Plant Operators
8343	unit	834	Crane, Hoist and Related Plant Operators
8344	unit	834	Lifting Truck Operators
835	minor	83	Ships' Deck Crews and Related Workers
8350	unit	835	Ships' Deck Crews and Related Workers
9	major		Elementary Occupations
91	sub-major	9	Cleaners and Helpers
911	minor	91	Domestic, Hotel and Office Cleaners and Helpers
9111	unit	911	Domestic Cleaners and Helpers
9112	unit	911	Cleaners and Helpers in Offices, Hotels and Other Establishments
912	minor	91	Vehicle, Window, Laundry and Other Hand Cleaning Workers
9121	unit	912	Hand Launderers and Pressers
9122	unit	912	Vehicle Cleaners
9123	unit	912	Window Cleaners
9129	unit	912	Other Cleaning Workers
92	sub-major	9	Agricultural, Forestry and Fishery Labourers
921	minor	92	Agricultural, Forestry and Fishery Labourers
9211	unit	921	Crop Farm Labourers
9212	unit	921	Livestock Farm Labourers
9213	unit	921	Mixed Crop and Livestock Farm Labourers
9214	unit	921	Garden and Horticultural Labourers
9215	unit	921	Forestry Labourers
9216	unit	921	Fishery and Aquaculture Labourers
93	sub-major	9	Labourers in Mining, Construction, Manufacturing and Transport
931	minor	93	Mining and Construction Labourers
9311	unit	931	Mining and Quarrying Labourers
9312	unit	931	Civil Engineering Labourers
9313	unit	931	Building Construction Labourers
932	minor	93	Manufacturing Labourers
9321	unit	932	Hand Packers
9329	unit	932	Manufacturing Labourers Not Elsewhere Classified
933	minor	93	Transport and Storage Labourers
9331	unit	933	Hand and Pedal Vehicle Drivers
9332	unit	933	Drivers of Animal-drawn Vehicles and Machinery
9333	unit	933	Freight Handlers
9334	unit	933	Shelf Fillers
94	sub-major	9	Food Preparation Assistants
941	minor	94	Food Preparation Assistants
9411	unit	941	Fast Food Preparers
9412	unit	941	Kitchen Helpers
95	sub-major	9	Street and Related Sales and Services Workers
951	minor	95	Street and Related Services Workers
9510	unit	951	Street and Related Services Workers
952	minor	95	Street Vendors (excluding Food)
9520	unit	952	Street Vendors (excluding Food)
96	sub-major	9	Refuse Workers and Other Elementary Workers
961	minor	96	Refuse Workers
9611	unit	961	Garbage and Recycling Collectors
9612	unit	961	Refuse Sorters
9613	unit	961	Sweepers and Related Labourers
962	minor	96	Other Elementary Workers
9621	unit	962	Messengers, Package Deliverers and Luggage Porters
9622	unit	962	Odd-job Persons
9623	unit	962	Meter Readers and Vending-machine Collectors
9624	unit	962	Water and Firewood Collectors
9629	unit	962	Elementary Workers Not Elsewhere Classified
